company_id,broad_sector,metric,value,sector_mean,sector_std,z_score,outlier_direction
BAJAJHLDNG,Financials,net_profit_margin_pct,432.7262044653349,38.23800342228855,85.77879819078619,4.598901003085162,High
PNB,Financials,asset_turnover,1.5070262950629396,0.19832550467494797,0.3020168432677443,4.333204652522643,High
BAJAJHLDNG,Financials,interest_coverage,3764.5,349.4110741679942,929.7307144060625,3.6732022217999525,High
INDIGO,Consumer Discretionary,return_on_capital_employed_pct,5643.454935622318,441.1149600120758,1443.4059541650477,3.6042112481235997,High
INDIGO,Consumer Discretionary,return_on_assets_pct,668.3306055646481,59.22593453370031,169.01926366045174,3.6037588724478047,High
INDIGO,Consumer Discretionary,asset_turnover,56.38625204582652,5.157839331155129,14.21557860147183,3.6036811550792156,High
INDIGO,Consumer Discretionary,return_on_equity_pct,892.568306010929,86.7241057634709,223.66147598722537,3.6029637946835535,High
TATAMOTORS,Consumer Discretionary,free_cash_flow_cr,45133.0,4444.142857142857,12143.017257767897,3.3508028753585486,High
PNB,Financials,return_on_equity_pct,61.320565191187306,19.0070932850781,12.722058898283633,3.3259924548704793,High
ICICIPRULI,Financials,return_on_capital_employed_pct,754.8873412535846,81.28822518350675,204.08042170198627,3.3006552537103167,High
ADANIGREEN,Energy,debt_to_equity,6.595281675818589,1.459648082065076,1.5746143253694842,3.2615183991473167,High
PNB,Financials,return_on_assets_pct,12.652858189053626,2.7258836985856014,3.0732679114887764,3.230103842674465,High
SBILIFE,Financials,cfo_pat_ratio,15.375923970432947,-0.6490760981725231,5.016893020960887,3.1942080490160016,High
