metric,P10,P25,P50,P75,P90,Mean,Std,Count
net_profit_margin_pct,4.619194610984474,7.24774515132234,14.208254232549017,20.34900889030226,29.24548245324143,20.015917582704322,45.182887413385615,92
operating_profit_margin_pct,9.837909494446341,16.008217692276524,25.833656455990695,40.154298741775634,84.04312668463612,34.668914632997186,27.512220711640186,91
return_on_equity_pct,8.370767521615225,11.671358898635695,16.716051794688113,26.00564274915637,48.27674122146251,123.89715185463497,637.1447803783333,91
return_on_capital_employed_pct,4.2797722443790365,11.330122565901721,20.637174728252504,36.16994379485593,121.03606440278729,197.4934411400204,840.6382400571098,90
return_on_assets_pct,1.1402758683204666,2.477811221803989,6.208612241806171,13.788593414508584,22.61590775334045,61.726135967803295,317.793569434819,91
debt_to_equity,0.008129006675038002,0.058099743078219884,0.43491620111731844,1.5942703351364202,6.445624336310825,1.6688322682398915,2.863032616687874,91
interest_coverage,1.6106611743349857,3.179969072942309,11.355507351168956,58.089466998549725,192.2895238095238,126.12959168132556,485.94073384579076,91
asset_turnover,0.07325702420450533,0.21198146242264468,0.6788531553398058,1.134077393208722,1.6559406621205455,3.5044634606741893,15.847510559362842,91
free_cash_flow_cr,-14435.1,-1290.0,1095.0,8348.5,20412.2,893.6086956521739,23126.51041124108,92
cfo_pat_ratio,-3.625966459136198,0.49861959278762646,1.1403374193812108,1.7264261398559846,2.9146907544087446,0.7933844498406374,3.41448880445874,92
